Project name,Participant name,Recording timestamp,Gaze point X,Gaze point Y,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y
WW2019,Participant004,0,,,EyesNotFound,10,1,,
WW2019,Participant004,20,791,217,Fixation,860,1,794,214
WW2019,Participant004,40,791,216,Fixation,860,1,794,214
WW2019,Participant004,60,791,216,Fixation,860,1,794,214
WW2019,Participant004,80,792,216,Fixation,860,1,794,214
WW2019,Participant004,100,792,216,Fixation,860,1,794,214
WW2019,Participant004,120,792,216,Fixation,860,1,794,214
WW2019,Participant004,140,792,216,Fixation,860,1,794,214
WW2019,Participant004,160,792,215,Fixation,860,1,794,214
WW2019,Participant004,180,793,215,Fixation,860,1,794,214
WW2019,Participant004,200,793,215,Fixation,860,1,794,214
WW2019,Participant004,220,793,215,Fixation,860,1,794,214
WW2019,Participant004,240,793,214,Fixation,860,1,794,214
WW2019,Participant004,260,793,214,Fixation,860,1,794,214
WW2019,Participant004,280,793,213,Fixation,860,1,794,214
WW2019,Participant004,300,792,213,Fixation,860,1,794,214
WW2019,Participant004,320,792,212,Fixation,860,1,794,214
WW2019,Participant004,340,791,211,Fixation,860,1,794,214
WW2019,Participant004,360,791,211,Fixation,860,1,794,214
WW2019,Participant004,380,790,211,Fixation,860,1,794,214
WW2019,Participant004,400,790,211,Fixation,860,1,794,214
WW2019,Participant004,420,790,211,Fixation,860,1,794,214
WW2019,Participant004,440,790,211,Fixation,860,1,794,214
WW2019,Participant004,460,789,211,Fixation,860,1,794,214
WW2019,Participant004,480,790,211,Fixation,860,1,794,214
WW2019,Participant004,500,791,212,Fixation,860,1,794,214
WW2019,Participant004,520,791,212,Fixation,860,1,794,214
WW2019,Participant004,540,793,213,Fixation,860,1,794,214
WW2019,Participant004,560,794,214,Fixation,860,1,794,214
WW2019,Participant004,580,794,214,Fixation,860,1,794,214
WW2019,Participant004,600,795,215,Fixation,860,1,794,214
WW2019,Participant004,620,795,215,Fixation,860,1,794,214
WW2019,Participant004,640,796,215,Fixation,860,1,794,214
WW2019,Participant004,660,797,216,Fixation,860,1,794,214
WW2019,Participant004,680,798,217,Fixation,860,1,794,214
WW2019,Participant004,700,798,217,Fixation,860,1,794,214
WW2019,Participant004,720,799,218,Fixation,860,1,794,214
WW2019,Participant004,740,799,218,Fixation,860,1,794,214
WW2019,Participant004,760,799,219,Fixation,860,1,794,214
WW2019,Participant004,780,798,214,Fixation,860,1,794,214
WW2019,Participant004,800,797,212,Fixation,860,1,794,214
WW2019,Participant004,820,797,212,Fixation,860,1,794,214
WW2019,Participant004,840,796,210,Fixation,860,1,794,214
