"CLICK","GRAB","ATCHECKOUT","FIXATION","FIXDURAS","FRAME","TIMESTPS","X","Y","BOUGHT","SUBJECT","IMAGEFILE","VIDEOFILE","RAWFIXATIONFILE","BAYSHELFAOI","VARIANTAOI","SIDE","BAYSHELF","BRAND","BRANDBLOCK","CATEGORY","COLOUR","SEGMENT","VARIANT"
"107","","0","1269","0.1","14661","586.44","14864","3675","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B18S3","path1742","2","B18S3","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Single Serve","Red Bull Energy Drink Sugar Free 250ml"
"106","","0","1268","0.1","14657","586.28","14952","4031","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B18S4","path1778","2","B18S4","Red Bull","B17-19S2-5 Red Bull","Energy","Black","Energy Multi Pack","Red Bull Energy Drink Zero 4x250ml"
"26","","0","1179","0.1","13730","549.2","15856","3813","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"27","","0","1180","0.1","13733","549.32","15847","3856","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"103","","0","1265","0.1","14636","585.44","15623","4136","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"25","","0","1178","0.14","13725","549","15847","3809","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S3","path1750","2","B19S3","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Sugar Free Energy Drink 4pk 275ml"
"94","","0","1252","0.14","14508","580.32","15474","4435","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"23","","0","1176","0.34","13708","548.32","15815","4206","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"92","","0","1250","0.16","14498","579.92","15502","4565","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S6","path1809","2","B19S6","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 6x275ml"
"104","","0","1266","0.18","14640","585.6","15158","4272","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
"105","","0","1267","0.2","14646","585.84","15022","4246","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B18S5","path1698","2","B18S5","Red Bull","B17-19S2-5 Red Bull","Energy","Blue","Energy Multi Pack","Red Bull Energy Drink Sugar Free 6x250ml"
"24","","0","1177","0.28","13717","548.68","15627","4335","0","131","WW2019 Aisle 4 Base Image V7","Recording133_Participant131_00.00.00-00.41.37.mp4","P131.csv","SD2B19S5","path1026","2","B19S5","V","B19S1-6 V","Energy","Green","Energy Multi Pack","V Energy Drink 4x275ml"
