CLICK,GRAB,ATCHECKOUT,FIXATION,FIXDURAS,FRAME,TIMESTPS,X,Y,BOUGHT,SUBJECT,IMAGEFILE,VIDEOFILE,RAWFIXATIONFILE,BAYSHELFAOI,VARIANTAOI,SIDE,BAYSHELF,BRAND,BRANDBLOCK,CATEGORY,COLOUR,SEGMENT,VARIANT
55,,0,1114,0.1,18335,733.4,15833,4191,0,11,WW2019 Aisle 4 Base Image V7,Recording011_Participant011_00.00.00-00.56.14.mp4,P11.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
27,,0,1086,0.12,17840,713.6,15750,3789,0,11,WW2019 Aisle 4 Base Image V7,Recording011_Participant011_00.00.00-00.56.14.mp4,P11.csv,SD2B19S3,path1750,2,B19S3,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Sugar Free Energy Drink 4pk 275ml
56,,0,1115,0.14,18339,733.56,15815,4177,0,11,WW2019 Aisle 4 Base Image V7,Recording011_Participant011_00.00.00-00.56.14.mp4,P11.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
51,,0,1110,0.16,18297,731.88,15391,3416,0,11,WW2019 Aisle 4 Base Image V7,Recording011_Participant011_00.00.00-00.56.14.mp4,P11.csv,SD2B19S2,path1768,2,B18S2,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 250ml
54,,0,1113,0.22,18325,733,15090,4001,0,11,WW2019 Aisle 4 Base Image V7,Recording011_Participant011_00.00.00-00.56.14.mp4,P11.csv,SD2B19S4,path1780,2,B19S4,V,B19S1-6 V,Energy,Blue,Energy Multi Pack,V Energy Drink Blue 4x275ml
21,,0,990,0.12,14979,599.16,14758,4199,0,20,WW2019 Aisle 4 Base Image V7,Recording020_Participant020_00.00.00-00.32.37.mp4,P20.csv,SD2B18S5,path1642,2,B17S5,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Multi Pack,Red Bull Energy Drink 6x250ml
15,,0,977,0.72,14807,592.28,15840,4212,0,20,WW2019 Aisle 4 Base Image V7,Recording020_Participant020_00.00.00-00.32.37.mp4,P20.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
23,,0,684,0.14,9670,386.8,15257,4208,0,24,WW2019 Aisle 4 Base Image V7,Recording024_Participant024_00.00.00-00.18.13.mp4,P24.csv,SD2B19S5,path1026,2,B19S5,V,B19S1-6 V,Energy,Green,Energy Multi Pack,V Energy Drink 4x275ml
22,,0,683,0.24,9661,386.44,15371,4058,0,24,WW2019 Aisle 4 Base Image V7,Recording024_Participant024_00.00.00-00.18.13.mp4,P24.csv,SD2B19S4,path1782,2,B19S4,V,B19S1-6 V,Energy,Yellow,Energy Multi Pack,V Forbidden Fruits Energy Drink 250ml x4 pack
56,,0,738,0.1,11315,452.6,14495,3674,0,29,WW2019 Aisle 4 Base Image V7,Recording029_Participant029_00.00.00-01.17.06.mp4,P29.csv,SD2B18S3,path1738,2,B18S3,Red Bull,B17-19S2-5 Red Bull,Energy,Blue,Energy Single Serve,Red Bull Energy Drink 355ml
